observation_index,timestamp,V_RAW,V_N,V1,V2,predicted_next_V_N,interval_state_json
52,2023-03-30T09:18:00Z,100.0,0.29850746268656714,3.5118280463975378,9.212156487756205,0.29850746268656714,"{""count_elevated"":2.0,""count_extreme"":1.0,""max_median"":12.537313432835822,""mean_vn"":1.8917324616468387,""median"":335.0,""persist_baseline"":0.0,""since_max"":2.0,""std"":996.3821890553176}"
53,2023-03-30T09:19:00Z,752.0,2.094707520891365,3.2414251860474783,2.8904502556853617,2.094707520891365,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":11.699164345403899,""mean_vn"":2.0109922698693614,""median"":359.0,""persist_baseline"":1.0,""since_max"":3.0,""std"":987.0141415175142}"
54,2023-03-30T09:20:00Z,200.0,0.5571030640668524,-3.2045067143391672,-3.3338045150293123,0.5571030640668524,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":11.699164345403899,""mean_vn"":2.027745114303584,""median"":359.0,""persist_baseline"":0.0,""since_max"":4.0,""std"":983.5308411816864}"
55,2023-03-30T09:24:00Z,100.0,0.2785515320334262,1.1047353760445677,0.5871866295264618,0.2785515320334262,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":11.699164345403899,""mean_vn"":2.0136954407001038,""median"":359.0,""persist_baseline"":0.0,""since_max"":5.0,""std"":985.708872955003}"
56,2023-03-30T09:25:00Z,500.0,1.25,1.1796657381615585,0.41643454038997124,1.25,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":10.5,""mean_vn"":2.023838152218962,""median"":400.0,""persist_baseline"":1.0,""since_max"":6.0,""std"":983.4238737978428}"
57,2023-03-30T09:26:00Z,200.0,0.5,-1.6107242339832868,-1.7214484679665751,0.5,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":10.5,""mean_vn"":1.9888738300986766,""median"":400.0,""persist_baseline"":0.0,""since_max"":7.0,""std"":987.0917462706066}"
58,2023-03-30T09:27:00Z,427.0,1.0675,1.2262499999999998,1.3175000000000003,1.0675,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":10.5,""mean_vn"":1.9581036975808375,""median"":400.0,""persist_baseline"":1.0,""since_max"":8.0,""std"":988.070420342374}"
59,2023-03-30T09:28:00Z,100.0,0.3333333333333333,-1.3849999999999996,-1.3016666666666674,0.3333333333333333,"{""count_elevated"":2.0,""count_extreme"":1.0,""max_median"":14.0,""mean_vn"":1.874311648651174,""median"":300.0,""persist_baseline"":0.0,""since_max"":9.0,""std"":997.53721178154}"
60,2023-03-30T09:30:00Z,900.0,2.25,2.086666666666666,1.1283333333333323,2.25,"{""count_elevated"":3.0,""count_extreme"":1.0,""max_median"":10.5,""mean_vn"":1.9718350756926732,""median"":400.0,""persist_baseline"":1.0,""since_max"":10.0,""std"":992.4838739244082}"
61,2023-03-30T09:31:00Z,320.0,1.0,-1.9861111111111112,-1.4722222222222214,1.0,"{""count_elevated"":2.0,""count_extreme"":1.0,""max_median"":13.125,""mean_vn"":1.7038297209403306,""median"":320.0,""persist_baseline"":2.0,""since_max"":11.0,""std"":983.8631205609855}"
